City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Santander,88,PH,100,9.42,123.33,25.47,4.21
Washougal,1,US,67,45.58,-122.35,6.7,9.3
Port Alfred,0,ZA,82,-33.59,26.89,21.09,1.96
Walvis Bay,0,NA,50,-22.95,14.51,24.0,8.7
Udachnyy,32,RU,47,66.42,112.4,-34.34,1.31
Hobart,20,AU,76,-42.88,147.33,11.0,2.1
Isangel,12,VU,100,-19.55,169.27,24.94,2.16
Mataura,100,NZ,89,-46.19,168.86,6.79,1.41
Selikhino,20,RU,26,50.37,137.51,-27.69,1.21
Tiksi,44,RU,38,71.64,128.87,-31.74,4.96
Atuona,92,PF,100,-9.8,-139.03,26.59,7.26
Dikson,48,RU,100,73.51,80.55,-27.24,14.21
Jamestown,0,AU,41,-33.21,138.6,18.19,4.46
Punta Arenas,75,CL,53,-53.16,-70.91,10.0,16.5
Ushuaia,75,AR,87,-54.81,-68.31,7.0,15.9
Mahebourg,40,MU,74,-20.41,57.7,28.0,5.1
Lompoc,90,US,89,34.64,-120.46,11.1,1.5
Sirjan,24,IR,86,29.44,55.67,1.72,2.86
Hilo,90,US,87,19.71,-155.08,20.0,2.6
Paamiut,88,GL,91,61.99,-49.67,1.02,10.21
Daru,32,SL,31,7.99,-10.85,33.97,1.51
Neijiang,8,CN,91,29.59,105.06,2.92,1.61
Tuatapere,92,NZ,90,-46.13,167.69,13.27,5.86
Geraldton,5,CA,76,49.72,-86.95,-24.0,1.51
Weiser,90,US,81,44.25,-116.97,0.0,1.31
Lelydorp,20,SR,78,5.69,-55.21,27.0,3.6
Bluff,0,AU,84,-23.58,149.07,20.64,3.21
Bredasdorp,0,ZA,36,-34.53,20.04,25.0,9.8
Kavaratti,0,IN,100,10.57,72.64,27.69,2.21
Ankang,32,CN,66,32.73,108.99,-9.59,0.91
Hermanus,0,ZA,50,-34.42,19.24,17.79,4.56
Saldanha,0,PT,92,41.42,-6.55,2.02,2.06
Saint-Georges,56,CA,49,46.12,-70.67,-14.74,3.86
Igarka,12,RU,0,67.47,86.57,-39.79,7.46
Tuktoyaktuk,90,CA,76,69.44,-133.03,-24.0,3.6
Shahrud,0,IR,76,36.42,54.97,-4.61,2.56
Henties Bay,0,NA,88,-22.12,14.28,18.57,4.76
Salamiyah,0,SY,70,35.01,37.05,-0.21,1.66
Yatou,8,CM,79,3.63,9.81,30.0,2.1
Georgetown,75,GY,66,6.8,-58.16,29.0,6.2
San Patricio,68,PY,100,-26.98,-56.83,23.14,1.96
Port Elizabeth,1,US,35,39.31,-74.98,-0.6,2.6
Albany,75,US,35,42.65,-73.75,-6.7,4.6
Padang,8,ID,100,-0.92,100.36,27.57,2.41
Launceston,75,AU,76,-41.43,147.14,12.0,2.1
Lagoa,0,PT,47,37.14,-8.45,15.0,4.6
Manjo,20,CM,82,4.85,9.82,23.79,0.71
Tiznit,0,MA,75,29.7,-9.73,15.47,1.71
Comodoro Rivadavia,20,AR,77,-45.87,-67.48,21.0,5.1
Ribeira Grande,20,PT,67,38.52,-28.7,17.0,9.3
Longyearbyen,20,NO,50,78.22,15.63,-13.0,8.7
Vaini,0,IN,87,15.34,74.49,17.07,0.96
Rikitea,88,PF,99,-23.12,-134.97,26.19,6.51
Chokurdakh,80,RU,34,70.62,147.9,-30.39,2.56
Tocopilla,0,CL,78,-22.09,-70.2,20.82,3.01
Nikolskoye,0,RU,92,59.7,30.79,-5.0,5.0
Torbay,75,CA,93,47.66,-52.73,1.0,6.7
Lebu,0,ET,34,8.96,38.73,6.84,1.76
Barrow,24,AR,68,-38.31,-60.23,28.69,6.06
Butaritari,68,KI,100,3.07,172.79,28.27,4.91
Kapaa,20,US,87,22.08,-159.32,19.4,3.6
Talnakh,0,RU,0,69.49,88.39,-42.09,3.26
Luderitz,32,NA,87,-26.65,15.16,17.82,2.76
Kudahuvadhoo,88,MV,100,2.67,72.89,26.82,2.66
Port Blair,88,IN,97,11.67,92.75,28.57,5.06
Kodiak,90,US,99,39.95,-94.76,0.0,5.7
Toppenish,90,US,100,46.38,-120.31,-1.2,1.51
Kavieng,64,PG,100,-2.57,150.8,27.79,5.21
Chara,40,GR,78,39.42,22.43,3.0,3.1
Mhango,20,TZ,72,-2.75,33.92,19.22,2.01
Touros,75,BR,56,-5.2,-35.46,34.0,5.1
Tacna,0,PE,50,-18.01,-70.25,26.0,5.1
Phek,0,IN,85,25.7,94.46,6.64,1.06
Bambous Virieux,40,MU,74,-20.34,57.76,28.0,5.1
Souillac,75,FR,87,45.6,-0.6,7.0,3.1
New Norfolk,20,AU,76,-42.78,147.06,11.0,2.1
Kelso,75,US,100,46.14,-122.91,1.1,1.41
Hithadhoo,12,MV,100,-0.6,73.08,27.79,1.16
Necochea,0,AR,67,-38.55,-58.74,27.72,5.71
Chumikan,0,RU,41,54.72,135.31,-24.94,1.76
Arraial do Cabo,20,BR,70,-22.97,-42.02,32.0,8.2
Busselton,0,AU,100,-33.64,115.35,18.04,8.26
Cervo,12,BR,75,-22.19,-46.24,27.02,1.41
High Level,20,CA,92,58.52,-117.13,-15.0,1.56
Khatanga,48,RU,46,71.98,102.47,-33.69,6.01
Hospet,0,IN,65,15.27,76.4,17.89,3.11
Yellowknife,20,CA,83,62.45,-114.38,-21.0,5.1
Cayenne,75,GF,66,4.94,-52.33,29.0,5.1
Cabo San Lucas,5,MX,77,22.89,-109.91,21.0,1.0
Qaanaaq,0,GL,67,77.48,-69.36,-30.64,3.11
Victoria,75,BN,88,5.28,115.24,28.0,2.1
Broome,20,GB,81,52.47,1.45,9.0,7.7
Klaksvik,92,FO,87,62.23,-6.59,6.0,9.3
San Cristobal,75,EC,49,-0.39,-78.55,20.0,3.6
Saskylakh,0,RU,0,71.97,114.09,-47.31,2.11
Ipixuna,75,BR,78,-1.76,-48.8,27.0,2.6
Thompson,75,CA,77,55.74,-97.86,-16.0,4.6
Tual,56,ID,100,-5.67,132.75,27.84,5.01
Brae,92,GB,87,60.4,-1.35,7.0,7.7
Airai,20,TL,87,-8.93,125.41,20.17,0.86
Pangnirtung,40,CA,67,66.15,-65.72,-33.0,2.1
Port Lincoln,20,AU,98,-34.72,135.86,17.17,5.91
Saint-Joseph,0,FR,61,43.56,6.97,12.0,1.5
Alofi,0,NU,88,-19.06,-169.92,23.0,2.6
Saint-Philippe,1,CA,50,45.36,-73.48,-12.3,2.6
Baneh,0,IR,68,35.99,45.88,0.0,1.5
Chingirlau,92,KZ,94,51.09,54.08,-0.24,10.61
Denpasar,20,ID,88,-8.65,115.22,27.0,2.6
Buritama,0,BR,71,-21.07,-50.14,32.17,0.86
Namibe,0,AO,100,-15.19,12.15,23.97,5.16
Boddam,90,GB,76,57.47,-1.78,9.0,3.6
Hasaki,90,JP,93,35.73,140.83,4.0,2.1
Pisco,0,PE,30,-13.71,-76.2,22.0,8.7
Mount Gambier,0,AU,93,-37.83,140.78,11.0,3.6
Paoua,0,CF,25,7.24,16.43,26.04,2.96
Ixtapa,5,MX,78,20.71,-105.21,24.0,2.6
Tura,0,IN,80,25.52,90.21,10.89,1.06
Mogpog,92,PH,100,13.47,121.86,25.27,7.06
Marau,44,BR,91,-28.45,-52.2,28.42,3.16
Keetmanshoop,0,NA,6,-26.57,18.15,34.0,2.6
Hun,75,BE,93,50.34,4.87,8.0,4.6
Bethel,90,US,76,60.79,-161.76,-27.8,9.8
Cape Town,75,ZA,56,-33.93,18.42,20.0,6.7
Nuevo Casas Grandes,12,MX,82,30.42,-107.91,9.27,1.91
